브랜드,fit,성별,product,size,총장,어깨너비,가슴단면,소매길이,비고
탑텐,레귤러핏,남성,COOL Air 코튼 T (반팔 스트라이프),3XL,77,58.5,65.5,25.5,
탑텐,레귤러핏,남성,COOL Air 코튼 T (반팔 스트라이프),4XL,79,62,69,26,
탑텐,레귤러핏,남성,COOL Air 코튼 T (반팔 스트라이프),5XL,79,65.5,72.5,26,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,XS,61.5,50,48,24,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,S,63,52.5,50.5,24.5,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,M,64.5,55,53,25,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,L,66,57.5,55.5,25.5,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,XL,67.5,60,58,26,
탑텐,릴렉스핏,여성,COOL Air 코튼 더블니트 릴랙스핏 T,2XL,67.5,62.5,60.5,26.5,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,S,58,35,41,16,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,M,59.5,36.3,43.5,17,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,L,61,37.6,46,18,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,XL,62.5,38.9,48.5,19,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,2XL,64,40.2,51,20,
탑텐,레귤러핏,여성,퀵드라이 메쉬T,3XL,64,42.2,54.5,21,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),S,52,39,45.5,16,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),M,53.5,40.3,48,17,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),L,55,41.6,50.5,18,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),XL,56.5,42.9,53,19,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),2XL,58,44.2,55.5,20,
탑텐,레귤러핏,여성,COOL Air 코튼 크루넥 T (반팔),3XL,58,46.2,59,21,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),XS,58.5,44.5,52.5,15.5,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),S,60,47,55,16,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),M,61.5,49.5,57.5,16.5,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),L,63,52,60,17,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),XL,64.5,54.5,62.5,17.5,
탑텐,릴렉스핏,여성,크링클 릴랙스핏 T (반팔),2XL,64.5,57,65,18,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,XS,64,42,47.5,20,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,S,67,44,50,21,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,M,70,46,52.5,22,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,L,72,48,55,23,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,XL,74,50,57.5,24,
노스페이스,레귤러핏,공용,화이트라벨 코튼 반팔 라운드티,2XL,76,52,60,25,
노스페이스,레귤러핏,여성,여성 리커버리 반팔 티,S,58,36,44.5,20,
노스페이스,레귤러핏,여성,여성 리커버리 반팔 티,M,60,37.5,47,21,
노스페이스,레귤러핏,여성,여성 리커버리 반팔 티,L,62,39,49.5,22,
노스페이스,레귤러핏,여성,여성 리커버리 반팔 티,XL,64,41,52.75,23,
노스페이스,레귤러핏,여성,여성 리커버리 반팔 티,2XL,66,43,56,24,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,XS,63,42,47.5,20,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,S,66,44,50,21,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,M,69,46,52.5,22,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,L,71,48,55,23,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,XL,73,50,57.5,24,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,2XL,75,52,60,25,
노스페이스,레귤러핏,남성,남성 코튼 베이직 반팔 티,3XL,75,54,62.5,26,
노스페이스,슬림핏,여성,화이트라벨 여성 벤트런 반팔 라운드티,S,47.5,37,43,16,
노스페이스,슬림핏,여성,화이트라벨 여성 벤트런 반팔 라운드티,M,49.5,38.5,45.5,17,
노스페이스,슬림핏,여성,화이트라벨 여성 벤트런 반팔 라운드티,L,51.5,40,48,18,
노스페이스,슬림핏,여성,화이트라벨 여성 벤트런 반팔 라운드티,XL,53.5,41.5,50.5,19,
노스페이스,레귤러핏,남성,남성 아이스큐브 반팔 티,M,70,48.5,57.5,24,
노스페이스,레귤러핏,남성,남성 아이스큐브 반팔 티,L,72,50,60,25,
노스페이스,레귤러핏,남성,남성 아이스큐브 반팔 티,XL,74,51.5,62.5,26,
노스페이스,레귤러핏,남성,남성 아이스큐브 반팔 티,2XL,76,53,65,27,
노스페이스,레귤러핏,남성,남성 아이스큐브 반팔 티,3XL,76,54.5,67.5,28,
