브랜드,fit,성별,product,size,총장,어깨너비,가슴단면,소매길이,비고
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,S,67.5,46.5,51,56,
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,M,69,48.5,53.5,58,
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,L,70.5,50,56,59,
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,XL,72,51.5,58.5,60,
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,2XL,73,53,61,60.5,
무신사스탠다드,레귤러핏,공용,베이식 긴소매 티셔츠,3XL,74,54.5,63.5,61,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,XS,68.8,44.5,49,56,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,S,72.8,46.5,51.5,57,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,M,74.8,48.5,54,58,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,L,76.3,50,56.5,59,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,XL,77.8,51.5,59,60,
무신사스탠다드,레귤러핏,남성,레이어드 크루 넥 긴소매 티셔츠_일반 기장,2XL,78.8,53,61.5,60.5,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,S,68.5,52.5,54,55.5,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,M,70.5,54.5,56.5,56.5,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,L,72,56,59,57.5,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,XL,73.5,57.5,61.5,58.5,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,2XL,74.5,59,64,59,
무신사스탠다드,루즈핏,남성,멀티 스트라이프 릴렉스드 긴소매 티셔츠,3XL,74.5,60.5,66.5,59,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,S,69.5,47,51,60.5,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,M,71,48.5,53.5,61.5,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,L,72.5,50,56,62.5,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,XL,74,51.5,58.5,63.5,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,2XL,75,53,61,64,
무신사스탠다드,레귤러핏,남성,크루 넥 긴소매 티셔츠,3XL,76,54.5,63.5,64.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,S,75,48.8,56,59.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,M,76.5,50.4,58.5,60.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,L,78,52,61,61.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,XL,79.5,53.6,63.5,62.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,2XL,80.5,55.2,66,63.5,
무신사스탠다드,루즈핏,남성,릴렉스 핏 옥스포드 셔츠,3XL,81.5,56.8,68.5,64,
무신사스탠다드,레귤러핏,남성,베이식 드레스 셔츠,S,74,43.8,50,61.5,
무신사스탠다드,레귤러핏,남성,베이식 드레스 셔츠,M,75.5,45.4,52.5,62.5,
무신사스탠다드,레귤러핏,남성,베이식 드레스 셔츠,L,77,47,55,63,
무신사스탠다드,레귤러핏,남성,베이식 드레스 셔츠,XL,78.5,48.6,57.5,64,
무신사스탠다드,레귤러핏,남성,베이식 드레스 셔츠,2XL,80,50.2,60,64.5,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,S,73,44.3,52,60.5,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,M,74.5,45.9,54.5,61.5,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,L,76,47.5,57,62.5,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,XL,77.5,49.1,59.5,63.5,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,2XL,78.5,50.7,62,64,
무신사스탠다드,레귤러핏,남성,베이식 옥스포드 셔츠,3XL,79.5,52.3,64.5,64.5,
무신사스탠다드,루즈핏,남성,릴렉스드 워시드 포플린 셔츠,S,75,49.8,58,59.5,
무신사스탠다드,루즈핏,남성,릴렉스드 워시드 포플린 셔츠,M,76.5,51.4,60.5,60.5,
무신사스탠다드,루즈핏,남성,릴렉스드 워시드 포플린 셔츠,L,78,53,63,61.5,
무신사스탠다드,루즈핏,남성,릴렉스드 워시드 포플린 셔츠,XL,79.5,54.6,65.5,62.5,
무신사스탠다드,루즈핏,남성,릴렉스드 워시드 포플린 셔츠,2XL,80.5,56.2,68,63,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,S,69,46.5,52,61,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,M,71,48.5,54.5,63,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,L,72.5,50,57,64,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,XL,74,51.5,59.5,65,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,2XL,75.5,53,62,66,
무신사스탠다드,레귤러핏,남성,스웨트셔츠,3XL,75.5,54.5,64.5,66,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,XS,53,34.7,37.5,59.3,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,S,54,36,40,60,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,M,55,37.3,42.5,60.7,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,L,56,38.6,45,61.4,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 크루 넥 긴소매 티셔츠,XL,59,39.9,47.5,62.1,
무신사스탠다드,레귤러핏,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,XS,55.5,36.2,41.5,57.5,
무신사스탠다드,레귤러핏,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,S,56.5,37.5,44,58.25,
무신사스탠다드,레귤러핏,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,M,57.5,38.8,46.5,58.9,
무신사스탠다드,레귤러핏,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,L,58.5,40.1,49,59.6,
무신사스탠다드,레귤러핏,여성,우먼즈 플렉서블 크루 넥 긴소매 티셔츠,XL,59.5,41.4,52,60.35,
무신사스탠다드,루즈핏,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,XS,59,46.7,46.5,51.3,
무신사스탠다드,루즈핏,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,S,60,48,49,52,
무신사스탠다드,루즈핏,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,M,61,49.3,51,52.7,
무신사스탠다드,루즈핏,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,L,62,50.6,53.5,53.4,
무신사스탠다드,루즈핏,여성,우먼즈 릴렉스드 크루 넥 긴소매 티셔츠,XL,63,51.9,57,54.1,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 핏 셔츠,XS,59,37.7,42,60.3,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 핏 셔츠,S,60,39,44.5,61,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 핏 셔츠,M,61,40.3,47,61.7,
무신사스탠다드,슬림핏,여성,우먼즈 슬림 핏 셔츠,L,62,41.6,49.5,62.4,
